               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10968,            0.019017,            0.028721,           0.0029183,             0.86261,           0.0084373,           0.0021125,            0.062686,            0.013037,            0.016549,              0.0011,              0.0011,              0.0901
                   1,            0.077084,            0.023581,            0.023162,            0.078561,             0.11335,             0.10453,            0.036371,            0.042716,            0.012892,            0.014774,           0.0022954,           0.0022954,            0.079295
                   2,            0.064324,            0.024368,            0.021083,              0.4777,             0.32658,             0.41425,             0.15732,            0.032676,            0.011629,            0.015312,           0.0034861,           0.0034861,            0.068486
                   3,            0.060585,            0.021896,            0.020679,             0.13897,             0.63964,             0.31071,             0.11473,            0.026519,           0.0099746,            0.016824,           0.0046721,           0.0046721,            0.057672
                   4,             0.06564,            0.019668,            0.023653,             0.67856,             0.31081,             0.33504,             0.12097,            0.041955,            0.008858,            0.013057,           0.0058533,           0.0058533,            0.046853
                   5,             0.05879,             0.01941,            0.024404,             0.73363,             0.33784,             0.38825,             0.18415,              0.0341,           0.0078628,            0.014819,           0.0070297,           0.0070297,             0.03603
                   6,            0.058131,            0.018962,            0.023818,             0.21481,             0.65315,             0.39703,             0.20739,            0.028476,           0.0065098,            0.015735,           0.0082014,           0.0082014,            0.025201
                   7,             0.05505,            0.017892,            0.021427,              0.1939,             0.54354,             0.36333,             0.16791,            0.028903,           0.0054728,            0.015612,           0.0093683,           0.0093683,            0.014368
                   8,            0.057366,            0.018076,            0.022425,             0.33621,             0.59985,             0.46148,             0.23476,            0.025516,           0.0056763,            0.014575,           0.0098416,           0.0098416,           0.0098416
                   9,             0.04559,            0.019863,             0.02044,             0.44038,             0.82057,             0.59093,             0.24179,             0.02818,           0.0051258,            0.013251,           0.0098416,           0.0098416,           0.0098416
                  10,            0.050632,            0.019602,            0.021201,              0.5076,              0.8476,             0.66744,             0.29966,            0.024912,            0.005369,            0.011761,           0.0098218,           0.0098218,           0.0098218
                  11,            0.048304,            0.018384,            0.019467,             0.46585,             0.73649,               0.634,             0.24081,            0.029449,           0.0052868,            0.011576,            0.009802,            0.009802,            0.009802
                  12,            0.050454,            0.017028,            0.021008,             0.29144,             0.45354,             0.41504,             0.14938,            0.032472,           0.0068994,            0.015459,           0.0097822,           0.0097822,           0.0097822
                  13,            0.048967,            0.016852,            0.016276,             0.34447,             0.60688,             0.47882,             0.23653,            0.033011,           0.0055235,           0.0067417,           0.0097624,           0.0097624,           0.0097624
                  14,            0.041254,            0.017636,            0.017559,             0.52392,             0.72743,             0.67735,             0.31854,            0.025906,           0.0053747,           0.0055232,           0.0097426,           0.0097426,           0.0097426
                  15,            0.046744,            0.016062,            0.020888,             0.58329,             0.76369,             0.72269,             0.36198,            0.020347,           0.0055456,           0.0050653,           0.0097228,           0.0097228,           0.0097228
                  16,            0.046782,            0.016713,            0.019447,             0.72135,             0.83669,             0.85462,             0.45429,            0.019611,           0.0047666,           0.0050797,            0.009703,            0.009703,            0.009703
                  17,            0.044962,            0.016603,            0.017404,             0.56259,             0.74639,             0.62368,             0.27492,            0.026328,           0.0054658,           0.0044848,           0.0096832,           0.0096832,           0.0096832
                  18,             0.04559,            0.016239,            0.016451,             0.68977,             0.84985,             0.80565,             0.38528,            0.020332,           0.0057602,           0.0054787,           0.0096634,           0.0096634,           0.0096634
                  19,             0.03608,            0.016237,            0.017888,             0.76918,             0.87075,             0.83958,             0.43802,            0.020955,           0.0050635,           0.0045779,           0.0096436,           0.0096436,           0.0096436
                  20,            0.035852,              0.0164,            0.015951,             0.75814,             0.78793,             0.76955,             0.39373,            0.019581,           0.0048975,           0.0060808,           0.0096238,           0.0096238,           0.0096238
                  21,            0.037697,            0.015439,            0.015813,             0.76703,             0.90541,              0.7997,             0.40693,            0.018695,           0.0047654,           0.0060516,            0.009604,            0.009604,            0.009604
                  22,            0.039087,            0.015178,            0.014772,             0.74047,             0.85828,             0.80346,             0.41853,             0.01938,           0.0051701,           0.0064965,           0.0095842,           0.0095842,           0.0095842
                  23,            0.035343,            0.016262,            0.015088,             0.69659,             0.77111,               0.736,              0.4115,            0.017285,           0.0049874,            0.014407,           0.0095644,           0.0095644,           0.0095644
                  24,            0.035262,            0.014324,            0.014519,             0.76944,             0.82233,             0.80918,             0.37602,            0.020617,           0.0051808,           0.0070392,           0.0095446,           0.0095446,           0.0095446
                  25,            0.036853,            0.014832,            0.012656,             0.79571,             0.83608,             0.80259,             0.51619,            0.016681,           0.0043499,           0.0069989,           0.0095248,           0.0095248,           0.0095248
                  26,            0.036423,            0.014576,             0.01653,             0.74168,             0.95519,               0.835,             0.47321,            0.017525,           0.0043331,           0.0042743,            0.009505,            0.009505,            0.009505
                  27,            0.037681,            0.014211,            0.012947,             0.83297,             0.89548,             0.85901,             0.53634,            0.019042,           0.0042568,           0.0050471,           0.0094852,           0.0094852,           0.0094852
                  28,            0.037171,            0.015017,            0.013842,             0.77481,             0.83073,             0.83294,             0.42356,            0.019471,           0.0043942,           0.0095485,           0.0094654,           0.0094654,           0.0094654
                  29,            0.039442,            0.014997,             0.01567,             0.81112,             0.85155,             0.90111,             0.53922,            0.018425,           0.0042622,           0.0063296,           0.0094456,           0.0094456,           0.0094456
                  30,            0.035156,            0.014326,            0.014371,             0.88998,              0.8491,             0.93881,             0.56642,            0.016877,           0.0041307,           0.0040864,           0.0094258,           0.0094258,           0.0094258
                  31,            0.036447,            0.015658,             0.01573,             0.89525,             0.87613,             0.94818,             0.58964,            0.018531,           0.0041086,           0.0032585,            0.009406,            0.009406,            0.009406
                  32,            0.032346,            0.013473,           0.0095835,             0.82555,             0.86162,             0.92381,             0.56449,            0.017316,            0.004526,           0.0030355,           0.0093862,           0.0093862,           0.0093862
